X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
200,-50,180,200,-150,180,0
200,-50,180,200,-50,180,0
200,-50,180,200,50,180,0
200,-50,180,200,150,180,0
200,-50,180,200,250,180,0
200,-50,180,200,350,180,0
200,-50,180,200,450,180,0
200,-50,180,300,-450,180,0
200,-50,180,300,-350,180,0
200,-50,180,300,-250,180,0
200,-50,180,300,-150,180,0
200,-50,180,300,-50,180,0
200,-50,180,300,50,180,0
200,-50,180,300,150,180,0
200,-50,180,300,250,180,0
200,-50,180,300,350,180,0
200,-50,180,300,450,180,0
200,-50,180,400,-450,180,0
200,-50,180,400,-350,180,0
200,-50,180,400,-250,180,0
200,-50,180,400,-150,180,0
200,-50,180,400,-50,180,0
200,-50,180,400,50,180,0
200,-50,180,400,150,180,0
200,-50,180,400,250,180,0
200,-50,180,400,350,180,0
200,-50,180,400,450,180,0
200,-50,180,500,-450,180,0
200,-50,180,500,-350,180,0
200,-50,180,500,-250,180,0
200,-50,180,500,-150,180,0
200,-50,180,500,-50,180,0
200,-50,180,500,50,180,0
200,-50,180,500,150,180,0
200,-50,180,500,250,180,0
200,-50,180,500,350,180,0
200,-50,180,500,450,180,0
200,-50,180,600,-450,180,0
200,-50,180,600,-350,180,0
200,-50,180,600,-250,180,0
200,-50,180,600,-150,180,0
200,-50,180,600,-50,180,0
200,-50,180,600,50,180,0
200,-50,180,600,150,180,0
200,-50,180,600,250,180,0
200,-50,180,600,350,180,0
200,-50,180,600,450,180,0
200,50,180,200,-450,180,0
200,50,180,200,-350,180,0
200,50,180,200,-250,180,0
200,50,180,200,-150,180,0
200,50,180,200,-50,180,0
200,50,180,200,50,180,0
200,50,180,200,150,180,0
200,50,180,200,250,180,0
200,50,180,200,350,180,0
200,50,180,200,450,180,0
200,50,180,300,-450,180,0
200,50,180,300,-350,180,0
200,50,180,300,-250,180,0
200,50,180,300,-150,180,0
200,50,180,300,-50,180,0
200,50,180,300,50,180,0
200,50,180,300,150,180,0
200,50,180,300,250,180,0
200,50,180,300,350,180,0
200,50,180,300,450,180,0
200,50,180,400,-450,180,0
200,50,180,400,-350,180,0
200,50,180,400,-250,180,0
200,50,180,400,-150,180,0
200,50,180,400,-50,180,0
200,50,180,400,50,180,0
200,50,180,400,150,180,0
200,50,180,400,250,180,0
200,50,180,400,350,180,0
200,50,180,400,450,180,0
200,50,180,500,-450,180,0
200,50,180,500,-350,180,0
200,50,180,500,-250,180,0
200,50,180,500,-150,180,0
200,50,180,500,-50,180,0
200,50,180,500,50,180,0
200,50,180,500,150,180,0
200,50,180,500,250,180,0
200,50,180,500,350,180,0
200,50,180,500,450,180,0
200,50,180,600,-450,180,0
200,50,180,600,-350,180,0
200,50,180,600,-250,180,0
200,50,180,600,-150,180,0
200,50,180,600,-50,180,0
200,50,180,600,50,180,0
200,50,180,600,150,180,0
200,50,180,600,250,180,0
200,50,180,600,350,180,0
200,50,180,600,450,180,0
200,150,180,200,-450,180,0
200,150,180,200,-350,180,0
200,150,180,200,-250,180,0
200,150,180,200,-150,180,0
200,150,180,200,-50,180,0
200,150,180,200,50,180,0
200,150,180,200,150,180,0
200,150,180,200,250,180,0
200,150,180,200,350,180,0
200,150,180,200,450,180,0
200,150,180,300,-450,180,0
200,150,180,300,-350,180,0
200,150,180,300,-250,180,0
200,150,180,300,-150,180,0
200,150,180,300,-50,180,0
200,150,180,300,50,180,0
200,150,180,300,150,180,0
200,150,180,300,250,180,0
200,150,180,300,350,180,0
200,150,180,300,450,180,0
200,150,180,400,-450,180,0
200,150,180,400,-350,180,0
200,150,180,400,-250,180,0
200,150,180,400,-150,180,0
200,150,180,400,-50,180,0
200,150,180,400,50,180,0
200,150,180,400,150,180,0
200,150,180,400,250,180,0
200,150,180,400,350,180,0
200,150,180,400,450,180,0
200,150,180,500,-450,180,0
200,150,180,500,-350,180,0
200,150,180,500,-250,180,0
200,150,180,500,-150,180,0
200,150,180,500,-50,180,0
200,150,180,500,50,180,0
200,150,180,500,150,180,0
200,150,180,500,250,180,0
200,150,180,500,350,180,0
200,150,180,500,450,180,0
200,150,180,600,-450,180,0
200,150,180,600,-350,180,0
200,150,180,600,-250,180,0
200,150,180,600,-150,180,0
200,150,180,600,-50,180,0
200,150,180,600,50,180,0
200,150,180,600,150,180,0
200,150,180,600,250,180,0
200,150,180,600,350,180,0
200,150,180,600,450,180,0
200,250,180,200,-450,180,0
200,250,180,200,-350,180,0
200,250,180,200,-250,180,0
200,250,180,200,-150,180,0
200,250,180,200,-50,180,0
200,250,180,200,50,180,0
200,250,180,200,150,180,0
200,250,180,200,250,180,0
200,250,180,200,350,180,0
200,250,180,200,450,180,0
200,250,180,300,-450,180,0
200,250,180,300,-350,180,0
200,250,180,300,-250,180,0
200,250,180,300,-150,180,0
200,250,180,300,-50,180,0
200,250,180,300,50,180,0
200,250,180,300,150,180,0
200,250,180,300,250,180,0
200,250,180,300,350,180,0
200,250,180,300,450,180,0
200,250,180,400,-450,180,0
200,250,180,400,-350,180,0
200,250,180,400,-250,180,0
200,250,180,400,-150,180,0
200,250,180,400,-50,180,0
200,250,180,400,50,180,0
200,250,180,400,150,180,0
200,250,180,400,250,180,0
200,250,180,400,350,180,0
200,250,180,400,450,180,0
200,250,180,500,-450,180,0
200,250,180,500,-350,180,0
200,250,180,500,-250,180,0
200,250,180,500,-150,180,0
200,250,180,500,-50,180,0
200,250,180,500,50,180,0
200,250,180,500,150,180,0
200,250,180,500,250,180,0
200,250,180,500,350,180,0
200,250,180,500,450,180,0
200,250,180,600,-450,180,0
200,250,180,600,-350,180,0
200,250,180,600,-250,180,0
200,250,180,600,-150,180,0
200,250,180,600,-50,180,0
200,250,180,600,50,180,0
200,250,180,600,150,180,0
200,250,180,600,250,180,0
200,250,180,600,350,180,0
200,250,180,600,450,180,0
200,350,180,200,-450,180,97
200,350,180,200,-350,180,95
200,350,180,200,-250,180,0
200,350,180,200,-150,180,0
200,350,180,200,-50,180,0
200,350,180,200,50,180,0
200,350,180,200,150,180,0
200,350,180,200,250,180,0
200,350,180,200,350,180,0
200,350,180,200,450,180,0
200,350,180,300,-450,180,97
200,350,180,300,-350,180,97
200,350,180,300,-250,180,97
200,350,180,300,-150,180,97
200,350,180,300,-50,180,97
200,350,180,300,50,180,86
200,350,180,300,150,180,73
200,350,180,300,250,180,61
200,350,180,300,350,180,0
200,350,180,300,450,180,0
200,350,180,400,-450,180,97
200,350,180,400,-350,180,97
200,350,180,400,-250,180,97
200,350,180,400,-150,180,97
200,350,180,400,-50,180,97
200,350,180,400,50,180,86
200,350,180,400,150,180,72
200,350,180,400,250,180,65
200,350,180,400,350,180,0
200,350,180,400,450,180,0
200,350,180,500,-450,180,97
200,350,180,500,-350,180,97
200,350,180,500,-250,180,97
200,350,180,500,-150,180,97
200,350,180,500,-50,180,96
200,350,180,500,50,180,82
200,350,180,500,150,180,69
200,350,180,500,250,180,64
200,350,180,500,350,180,0
200,350,180,500,450,180,0
200,350,180,600,-450,180,0
200,350,180,600,-350,180,97
200,350,180,600,-250,180,97
200,350,180,600,-150,180,95
200,350,180,600,-50,180,85
200,350,180,600,50,180,72
200,350,180,600,150,180,64
200,350,180,600,250,180,0
200,350,180,600,350,180,0
200,350,180,600,450,180,0
200,450,180,200,-450,180,99
200,450,180,200,-350,180,98
200,450,180,200,-250,180,0
200,450,180,200,-150,180,0
200,450,180,200,-50,180,0
200,450,180,200,50,180,0
200,450,180,200,150,180,0
200,450,180,200,250,180,0
200,450,180,200,350,180,0
200,450,180,200,450,180,0
200,450,180,300,-450,180,99
200,450,180,300,-350,180,99
200,450,180,300,-250,180,99
200,450,180,300,-150,180,99
200,450,180,300,-50,180,99
200,450,180,300,50,180,86
200,450,180,300,150,180,73
200,450,180,300,250,180,66
200,450,180,300,350,180,0
200,450,180,300,450,180,0
200,450,180,400,-450,180,99
200,450,180,400,-350,180,99
200,450,180,400,-250,180,99
200,450,180,400,-150,180,99
200,450,180,400,-50,180,99
200,450,180,400,50,180,86
200,450,180,400,150,180,72
200,450,180,400,250,180,65
200,450,180,400,350,180,0
200,450,180,400,450,180,0
200,450,180,500,-450,180,99
200,450,180,500,-350,180,99
200,450,180,500,-250,180,99
200,450,180,500,-150,180,99
200,450,180,500,-50,180,96
200,450,180,500,50,180,82
200,450,180,500,150,180,69
200,450,180,500,250,180,64
200,450,180,500,350,180,0
200,450,180,500,450,180,0
200,450,180,600,-450,180,0
200,450,180,600,-350,180,99
200,450,180,600,-250,180,99
200,450,180,600,-150,180,95
200,450,180,600,-50,180,85
200,450,180,600,50,180,72
200,450,180,600,150,180,64
200,450,180,600,250,180,0
200,450,180,600,350,180,0
200,450,180,600,450,180,0
300,-450,180,200,-450,180,0
300,-450,180,200,-350,180,0
300,-450,180,200,-250,180,0
300,-450,180,200,-150,180,0
300,-450,180,200,-50,180,0
300,-450,180,200,50,180,0
300,-450,180,200,150,180,0
300,-450,180,200,250,180,0
300,-450,180,200,350,180,0
300,-450,180,200,450,180,0
300,-450,180,300,-450,180,0
300,-450,180,300,-350,180,0
300,-450,180,300,-250,180,0
300,-450,180,300,-150,180,0
300,-450,180,300,-50,180,0
300,-450,180,300,50,180,0
300,-450,180,300,150,180,0
300,-450,180,300,250,180,0
300,-450,180,300,350,180,0
300,-450,180,300,450,180,0
300,-450,180,400,-450,180,0
300,-450,180,400,-350,180,0
300,-450,180,400,-250,180,0
300,-450,180,400,-150,180,0
300,-450,180,400,-50,180,0
300,-450,180,400,50,180,0
300,-450,180,400,150,180,0
300,-450,180,400,250,180,0
300,-450,180,400,350,180,0
300,-450,180,400,450,180,0
300,-450,180,500,-450,180,0
300,-450,180,500,-350,180,0
300,-450,180,500,-250,180,0
300,-450,180,500,-150,180,0
300,-450,180,500,-50,180,0
300,-450,180,500,50,180,0
300,-450,180,500,150,180,0
300,-450,180,500,250,180,0
300,-450,180,500,350,180,0
300,-450,180,500,450,180,0
300,-450,180,600,-450,180,0
300,-450,180,600,-350,180,0
300,-450,180,600,-250,180,0
300,-450,180,600,-150,180,0
300,-450,180,600,-50,180,0
300,-450,180,600,50,180,0
300,-450,180,600,150,180,0
300,-450,180,600,250,180,0
300,-450,180,600,350,180,0
300,-450,180,600,450,180,0
300,-350,180,200,-450,180,0
300,-350,180,200,-350,180,0
300,-350,180,200,-250,180,0
300,-350,180,200,-150,180,0
300,-350,180,200,-50,180,0
300,-350,180,200,50,180,0
300,-350,180,200,150,180,0
300,-350,180,200,250,180,0
300,-350,180,200,350,180,0
300,-350,180,200,450,180,0
300,-350,180,300,-450,180,0
300,-350,180,300,-350,180,0
300,-350,180,300,-250,180,0
300,-350,180,300,-150,180,0
300,-350,180,300,-50,180,0
300,-350,180,300,50,180,0
300,-350,180,300,150,180,0
300,-350,180,300,250,180,0
300,-350,180,300,350,180,0
300,-350,180,300,450,180,0
300,-350,180,400,-450,180,0
300,-350,180,400,-350,180,0
300,-350,180,400,-250,180,0
300,-350,180,400,-150,180,0
300,-350,180,400,-50,180,0
300,-350,180,400,50,180,0
300,-350,180,400,150,180,0
300,-350,180,400,250,180,0
300,-350,180,400,350,180,0
300,-350,180,400,450,180,0
300,-350,180,500,-450,180,0
300,-350,180,500,-350,180,0
300,-350,180,500,-250,180,0
300,-350,180,500,-150,180,0
300,-350,180,500,-50,180,0
300,-350,180,500,50,180,0
300,-350,180,500,150,180,0
300,-350,180,500,250,180,0
300,-350,180,500,350,180,0
300,-350,180,500,450,180,0
300,-350,180,600,-450,180,0
300,-350,180,600,-350,180,0
300,-350,180,600,-250,180,0
300,-350,180,600,-150,180,0
300,-350,180,600,-50,180,0
300,-350,180,600,50,180,0
300,-350,180,600,150,180,0
300,-350,180,600,250,180,0
300,-350,180,600,350,180,0
300,-350,180,600,450,180,0
300,-250,180,200,-450,180,97
300,-250,180,200,-350,180,61
300,-250,180,200,-250,180,0
300,-250,180,200,-150,180,0
300,-250,180,200,-50,180,0
300,-250,180,200,50,180,0
300,-250,180,200,150,180,0
300,-250,180,200,250,180,0
300,-250,180,200,350,180,0
300,-250,180,200,450,180,0
300,-250,180,300,-450,180,88
300,-250,180,300,-350,180,6
300,-250,180,300,-250,180,0
300,-250,180,300,-150,180,0
300,-250,180,300,-50,180,0
300,-250,180,300,50,180,0
300,-250,180,300,150,180,0
300,-250,180,300,250,180,0
300,-250,180,300,350,180,0
300,-250,180,300,450,180,0
300,-250,180,400,-450,180,92
300,-250,180,400,-350,180,19
300,-250,180,400,-250,180,0
300,-250,180,400,-150,180,0
300,-250,180,400,-50,180,0
300,-250,180,400,50,180,0
300,-250,180,400,150,180,0
300,-250,180,400,250,180,0
300,-250,180,400,350,180,0
300,-250,180,400,450,180,0
300,-250,180,500,-450,180,65
300,-250,180,500,-350,180,65
300,-250,180,500,-250,180,23
300,-250,180,500,-150,180,1
300,-250,180,500,-50,180,0
300,-250,180,500,50,180,0
300,-250,180,500,150,180,0
300,-250,180,500,250,180,0
300,-250,180,500,350,180,0
300,-250,180,500,450,180,0
300,-250,180,600,-450,180,0
300,-250,180,600,-350,180,0
300,-250,180,600,-250,180,0
300,-250,180,600,-150,180,0
300,-250,180,600,-50,180,0
300,-250,180,600,50,180,0
300,-250,180,600,150,180,0
300,-250,180,600,250,180,0
300,-250,180,600,350,180,0
300,-250,180,600,450,180,0
300,-150,180,200,-450,180,101
300,-150,180,200,-350,180,104
300,-150,180,200,-250,180,0
300,-150,180,200,-150,180,0
300,-150,180,200,-50,180,0
300,-150,180,200,50,180,0
300,-150,180,200,150,180,0
300,-150,180,200,250,180,0
300,-150,180,200,350,180,0
300,-150,180,200,450,180,0
300,-150,180,300,-450,180,89
300,-150,180,300,-350,180,90
300,-150,180,300,-250,180,27
300,-150,180,300,-150,180,0
300,-150,180,300,-50,180,0
