X_L,Y_L,Z_L,X_R,Y_R,Z_R,Distancia(mm)
200,-150,180,600,-150,180,0
200,-150,180,600,-50,180,4.43085
200,-150,180,600,50,180,12.0313
200,-150,180,600,150,180,0
200,-150,180,600,250,180,0
200,-150,180,600,350,180,0
200,-150,180,600,450,180,0
200,-50,180,200,-450,180,61.7713
200,-50,180,200,-350,180,61.5743
200,-50,180,200,-250,180,61.8328
200,-50,180,200,-150,180,0
200,-50,180,200,-50,180,0
200,-50,180,200,50,180,0
200,-50,180,200,150,180,0
200,-50,180,200,250,180,0
200,-50,180,200,350,180,0
200,-50,180,200,450,180,0
200,-50,180,300,-450,180,54.4007
200,-50,180,300,-350,180,55.6341
200,-50,180,300,-250,180,50.1923
200,-50,180,300,-150,180,33.6793
200,-50,180,300,-50,180,0
200,-50,180,300,50,180,0
200,-50,180,300,150,180,0
200,-50,180,300,250,180,0
200,-50,180,300,350,180,0
200,-50,180,300,450,180,0
200,-50,180,400,-450,180,38.8667
200,-50,180,400,-350,180,39.6157
200,-50,180,400,-250,180,34.1674
200,-50,180,400,-150,180,24.7349
200,-50,180,400,-50,180,21.6115
200,-50,180,400,50,180,1.64792
200,-50,180,400,150,180,5.90823
200,-50,180,400,250,180,14.354
200,-50,180,400,350,180,0
200,-50,180,400,450,180,0
200,-50,180,500,-450,180,24.5687
200,-50,180,500,-350,180,25.9145
200,-50,180,500,-250,180,23.5457
200,-50,180,500,-150,180,20.9505
200,-50,180,500,-50,180,19.5447
200,-50,180,500,50,180,0
200,-50,180,500,150,180,12.8298
200,-50,180,500,250,180,21.1687
200,-50,180,500,350,180,0
200,-50,180,500,450,180,0
200,-50,180,600,-450,180,0
200,-50,180,600,-350,180,21.859
200,-50,180,600,-250,180,21.9075
200,-50,180,600,-150,180,17.9495
200,-50,180,600,-50,180,0
200,-50,180,600,50,180,5.87912
200,-50,180,600,150,180,22.3706
200,-50,180,600,250,180,0
200,-50,180,600,350,180,0
200,-50,180,600,450,180,0
200,50,180,200,-450,180,0
200,50,180,200,-350,180,0
200,50,180,200,-250,180,0
200,50,180,200,-150,180,0
200,50,180,200,-50,180,0
200,50,180,200,50,180,0
200,50,180,200,150,180,0
200,50,180,200,250,180,0
200,50,180,200,350,180,0
200,50,180,200,450,180,0
200,50,180,300,-450,180,0
200,50,180,300,-350,180,0
200,50,180,300,-250,180,0
200,50,180,300,-150,180,0
200,50,180,300,-50,180,0
200,50,180,300,50,180,0
200,50,180,300,150,180,0
200,50,180,300,250,180,0
200,50,180,300,350,180,0
200,50,180,300,450,180,0
200,50,180,400,-450,180,0
200,50,180,400,-350,180,0
200,50,180,400,-250,180,0
200,50,180,400,-150,180,0
200,50,180,400,-50,180,0
200,50,180,400,50,180,0
200,50,180,400,150,180,0
200,50,180,400,250,180,0
200,50,180,400,350,180,0
200,50,180,400,450,180,0
200,50,180,500,-450,180,0
200,50,180,500,-350,180,0
200,50,180,500,-250,180,0
200,50,180,500,-150,180,0
200,50,180,500,-50,180,0
200,50,180,500,50,180,0
200,50,180,500,150,180,0
200,50,180,500,250,180,0
200,50,180,500,350,180,0
200,50,180,500,450,180,0
200,50,180,600,-450,180,0
200,50,180,600,-350,180,0
200,50,180,600,-250,180,0
200,50,180,600,-150,180,0
200,50,180,600,-50,180,0
200,50,180,600,50,180,0
200,50,180,600,150,180,0
200,50,180,600,250,180,0
200,50,180,600,350,180,0
200,50,180,600,450,180,0
200,150,180,200,-450,180,0
200,150,180,200,-350,180,0
200,150,180,200,-250,180,0
200,150,180,200,-150,180,0
200,150,180,200,-50,180,0
200,150,180,200,50,180,0
200,150,180,200,150,180,0
200,150,180,200,250,180,0
200,150,180,200,350,180,0
200,150,180,200,450,180,0
200,150,180,300,-450,180,0
200,150,180,300,-350,180,0
200,150,180,300,-250,180,0
200,150,180,300,-150,180,0
200,150,180,300,-50,180,0
200,150,180,300,50,180,0
200,150,180,300,150,180,0
200,150,180,300,250,180,0
200,150,180,300,350,180,0
200,150,180,300,450,180,0
200,150,180,400,-450,180,0
200,150,180,400,-350,180,0
200,150,180,400,-250,180,0
200,150,180,400,-150,180,0
200,150,180,400,-50,180,0
200,150,180,400,50,180,0
200,150,180,400,150,180,0
200,150,180,400,250,180,0
200,150,180,400,350,180,0
200,150,180,400,450,180,0
200,150,180,500,-450,180,0
200,150,180,500,-350,180,0
200,150,180,500,-250,180,0
200,150,180,500,-150,180,0
200,150,180,500,-50,180,0
200,150,180,500,50,180,0
200,150,180,500,150,180,0
200,150,180,500,250,180,0
200,150,180,500,350,180,0
200,150,180,500,450,180,0
200,150,180,600,-450,180,0
200,150,180,600,-350,180,0
200,150,180,600,-250,180,0
200,150,180,600,-150,180,0
200,150,180,600,-50,180,0
200,150,180,600,50,180,0
200,150,180,600,150,180,0
200,150,180,600,250,180,0
200,150,180,600,350,180,0
200,150,180,600,450,180,0
200,250,180,200,-450,180,100.273
200,250,180,200,-350,180,100.038
200,250,180,200,-250,180,100.307
200,250,180,200,-150,180,0
200,250,180,200,-50,180,0
200,250,180,200,50,180,53.3926
200,250,180,200,150,180,20.5991
200,250,180,200,250,180,0
200,250,180,200,350,180,0
200,250,180,200,450,180,0
200,250,180,300,-450,180,100.67
200,250,180,300,-350,180,100.618
200,250,180,300,-250,180,100.355
200,250,180,300,-150,180,100.267
200,250,180,300,-50,180,100.315
200,250,180,300,50,180,86.7498
200,250,180,300,150,180,61.2527
200,250,180,300,250,180,6.54682
200,250,180,300,350,180,0
200,250,180,300,450,180,0
200,250,180,400,-450,180,100.601
200,250,180,400,-350,180,100.645
200,250,180,400,-250,180,100.267
200,250,180,400,-150,180,100.287
200,250,180,400,-50,180,100.363
200,250,180,400,50,180,86.8118
200,250,180,400,150,180,72.5455
200,250,180,400,250,180,65.0724
200,250,180,400,350,180,0
200,250,180,400,450,180,0
200,250,180,500,-450,180,100.276
200,250,180,500,-350,180,100.42
200,250,180,500,-250,180,100.285
200,250,180,500,-150,180,100.321
200,250,180,500,-50,180,96.4622
200,250,180,500,50,180,82.2352
200,250,180,500,150,180,69.3825
200,250,180,500,250,180,64.0066
200,250,180,500,350,180,0
200,250,180,500,450,180,0
200,250,180,600,-450,180,0
200,250,180,600,-350,180,100.326
200,250,180,600,-250,180,100.301
200,250,180,600,-150,180,95.4071
200,250,180,600,-50,180,85.2398
