Gird Size,10,5,1,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
200,-450,110,1,28.3071,-67.9543,13.5739,287.712,16.4658,-200.076,-97.1765,200,-450,110,0,0,0,0,0,0,0,0
200,-350,110,1,26.2926,-67.5528,36.1995,225.059,21.5618,-134.67,-96.9764,200,-350,110,1,-161.345,-112.835,-9.3854,163.844,106.934,82.334,104.52
200,-250,110,1,31.9401,-67.6279,53.5237,202.534,40.1991,-108.784,-99.7049,200,-250,110,1,-140.88,-106.711,19.497,163.125,115.38,80.0657,111.154
200,-150,110,0,0,0,0,0,0,0,0,200,-150,110,1,-121.908,-99.1788,40.7256,163.347,116.759,80.2019,115.081
200,-50,110,0,0,0,0,0,0,0,0,200,-50,110,1,-100.64,-89.7478,56.514,164.872,109.884,83.2675,116.439
200,50,110,1,101.394,-87.8696,56.4409,196.632,109.157,-81.4808,-116.703,200,50,110,0,0,0,0,0,0,0,0
200,150,110,1,122.648,-97.379,40.6033,198.515,116.022,-78.4567,-115.566,200,150,110,0,0,0,0,0,0,0,0
200,250,110,1,141.51,-105.069,19.315,198.84,114.698,-78.5334,-111.987,200,250,110,1,-31.695,-69.5646,53.6337,156.365,41.1082,111.267,99.1499
200,350,110,1,161.792,-111.516,-9.6592,198.086,106.368,-81.1959,-105.809,200,350,110,1,-26.0367,-69.3615,36.387,133.234,22.9227,137.577,96.06
200,450,110,0,0,0,0,0,0,0,0,200,450,110,1,-27.9943,-69.5378,13.8357,75.4214,17.901,198.134,95.8717
300,-450,110,1,35.8889,-73.0294,8.52832,274.292,37.3437,-186.671,-78.7733,300,-450,110,0,0,0,0,0,0,0,0
300,-350,110,1,34.7914,-73.0329,30.2329,248.312,40.1562,-153.641,-78.826,300,-350,110,1,-163.741,-104.549,-17.4634,160.028,102.737,93.5173,96.5485
