Xl,Yl,Xr,Yr,Al,Ar,A,C,Ok,Distancia(mm)
200,-250,400,350,1,1,1,1,1,20.7585
200,-250,400,450,1,0,0,1,0,20.7585
200,-250,500,-450,1,1,1,1,1,17.636
200,-250,500,-350,1,1,1,1,1,22.1893
200,-250,500,-250,1,1,1,1,1,13.5097
200,-250,500,-150,1,1,1,0,0,19.9339
200,-250,500,-50,1,1,1,0,0,18.2328
200,-250,500,50,1,1,1,0,0,8.08364
200,-250,500,150,1,1,1,1,1,22.0883
200,-250,500,250,1,1,1,1,1,27.661
200,-250,500,350,1,0,0,1,0,27.661
200,-250,500,450,1,0,0,1,0,27.661
200,-250,600,-450,1,0,0,1,0,27.661
200,-250,600,-350,1,1,1,0,0,25.1169
200,-250,600,-250,1,1,1,0,0,25.3403
200,-250,600,-150,1,1,1,0,0,23.7411
200,-250,600,-50,1,1,1,1,1,10.8751
200,-250,600,50,1,1,1,1,1,26.9327
200,-250,600,150,1,1,1,1,1,27.2784
200,-250,600,250,1,0,0,1,0,27.2784
200,-250,600,350,1,0,0,1,0,27.2784
200,-250,600,450,1,0,0,1,0,27.2784
200,-150,200,-450,1,1,1,1,1,19.1826
200,-150,200,-350,1,1,1,1,1,21.7191
200,-150,200,-250,1,1,1,1,1,18.4594
200,-150,200,-150,1,1,1,0,0,0.000114
200,-150,200,-50,1,1,1,0,0,3.07779
200,-150,200,50,1,1,1,0,0,1.25145
200,-150,200,150,1,1,1,0,0,1.56026
200,-150,200,250,1,1,1,0,0,1.61495
200,-150,200,350,1,1,1,0,0,6.2702
200,-150,200,450,1,1,1,0,0,5.69519
200,-150,300,-450,1,1,1,1,1,12.7212
200,-150,300,-350,1,1,1,1,1,13.083
200,-150,300,-250,1,1,1,1,1,11.8033
200,-150,300,-150,1,1,1,0,0,2.52526
200,-150,300,-50,1,1,1,0,0,6.09264
200,-150,300,50,1,1,1,0,0,1.07515
200,-150,300,150,1,1,1,0,0,0.855356
200,-150,300,250,1,1,1,0,0,9.23479
200,-150,300,350,1,1,1,0,0,13.933
200,-150,300,450,1,0,0,0,0,1.39E+01
200,-150,400,-450,1,1,1,1,1,11.8419
200,-150,400,-350,1,1,1,1,1,11.7888
200,-150,400,-250,1,1,1,1,1,12.1321
200,-150,400,-150,1,1,1,0,0,29.5845
200,-150,400,-50,1,1,1,0,0,29.3912
200,-150,400,50,1,1,1,0,0,14.8065
200,-150,400,150,1,1,1,0,0,1.57374
