Brazo derecho, ,Brazo izquierdo, ,Distancia
X,      Y,   X,    Y
300, -150, 300,  150, 70.01
300,  -50, 300,  150, 70.01
300,   50, 300,  150, 70.01
300,  150, 300,  150, 70.01
300,  250, 300,  150, 70.01
300,  350, 300,  150, 70.01
300,  450, 300,  150, 70.01
400, -450, 300,  150, 70.01
400, -350, 300,  150, 70.01
400, -250, 300,  150, 70.01
400, -150, 300,  150, 70.01
400,  -50, 300,  150, 70.01
400,   50, 300,  150, 70.01
400,  150, 300,  150, 70.01
400,  250, 300,  150, 70.01
400,  350, 300,  150, 70.01
400,  450, 300,  150, 70.01
500, -450, 300,  150, 70.01
500, -350, 300,  150, 70.01
500, -250, 300,  150, 70.01
500, -150, 300,  150, 70.01
500,  -50, 300,  150, 70.01
500,   50, 300,  150, 70.01
500,  150, 300,  150, 70.01
500,  250, 300,  150, 70.01
500,  350, 300,  150, 70.01
500,  450, 300,  150, 70.01
600, -450, 300,  150, 70.01
600, -350, 300,  150, 70.01
600, -250, 300,  150, 70.01
600, -150, 300,  150, 70.01
600,  -50, 300,  150, 70.01
