Gird Size,10,5,3,,,,,,,,,,,,,,,,,,
Coordenada,,,Brazo derecho,,,,,,,,Coordenada,,,Brazo izquierdo,,,,,,,
X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7,X,Y,Z,Alcance?,J1,J2,J3,J4,J5,J6,J7
600,-450,110,0,0,0,0,0,0,0,0,600,-450,110,0,0,0,0,0,0,0,0
600,-350,110,1,97.0892,-49.3495,-54.4400,274.8660,67.1266,-189.3960,-79.7370,600,-350,110,0,0,0,0,0,0,0,0
600,-250,110,1,92.1759,-49.9947,-27.4748,264.9940,67.4011,-164.2460,-76.3638,600,-250,110,0,0,0,0,0,0,0,0
600,-150,110,1,100.6340,-48.5283,-18.6706,259.0980,69.9174,-147.9510,-81.5727,600,-150,110,1,-165.0590,-61.0776,-57.2990,107.5510,74.1665,133.6230,119.5480
600,-50,110,1,116.5350,-47.6855,-19.3204,255.4660,72.7549,-136.5060,-91.8903,600,-50,110,1,-137.3950,-51.1520,-28.8796,108.0860,75.6819,130.2840,103.7510
600,50,110,1,138.0200,-50.2096,-29.3518,253.6360,74.6624,-130.2220,-105.8590,600,50,110,1,-116.2140,-48.8693,-18.8652,106.1610,73.9087,136.5810,90.0677
600,150,110,1,165.7140,-60.7659,-57.9623,254.4160,73.5407,-133.7870,-121.7870,600,150,110,1,-100.5870,-49.7465,-18.2058,102.5430,71.0827,147.9530,79.9399
600,250,110,0,0,0,0,0,0,0,0,600,250,110,1,-92.1950,-51.0916,-26.9665,96.7850,68.4385,164.0910,74.6839
600,350,110,0,0,0,0,0,0,0,0,600,350,110,1,-96.7455,-50.0492,-53.6772,87.2109,67.7002,188.9540,77.6181
600,450,110,0,0,0,0,0,0,0,0,600,450,110,0,0,0,0,0,0,0,0
200,-450,180,1,13.3087,-72.0694,23.7763,288.7210,25.6316,-202.9780,-84.5715,200,-450,180,0,0,0,0,0,0,0,0
200,-350,180,1,9.9933,-72.3337,46.7214,245.7970,25.8392,-156.3500,-84.4504,200,-350,180,0,0,0,0,0,0,0,0
200,-250,180,0,0,0,0,0,0,0,0,200,-250,180,0,0,0,0,0,0,0,1
200,-150,180,0,0,0,0,0,0,0,0,200,-150,180,0,0,0,0,0,0,0,2
200,-50,180,0,0,0,0,0,0,0,0,200,-50,180,0,0,0,0,0,0,0,3
